Medien im Einsatz||||
prefix:|M|||
||||
id|file_name|file_type|description|source
text|text|text|text|text
|complete name of file, incl. extension|''i'=image, 'a'=audio, 'v'=video, 'l'=link||including author, year, url, last access
M-1|kaffee_exelsior.jpg|i||Julius Schorzman; 2005; http://commons.wikimedia.org/wiki/File:A_small_cup_of_coffee.JPG; 24.2.2014
M-2|kaffee_exelsior_exquisit.jpg|i||Tim Boyd; 2005; http://commons.wikimedia.org/wiki/File:Caf%C3%A9_au_lait.jpg; 24.2.2014
M-3|kaffee_paris.jpg|i||V. Kostitsin-Teterin; 2007; http://commons.wikimedia.org/wiki/File:Einspaenner.jpg; 24.2.2014
M-4|superbrause.jpg|i||John Phelan; 2012; http://zh-yue.wikipedia.org/wiki/File:Lynchburg_Lemonade,_Grindhouse_Killer_Burgers,_Atlanta_GA.jpg; 26.2.2014
M-5|superbrause_plus.jpg|i||pic_p_ter; 2006; http://commons.wikimedia.org/wiki/File:Glass_cola.jpg; 24.2.2014
M-6|lucky_lemonade.jpg|i||Onderwijsgek; 2013; http://commons.wikimedia.org/wiki/File:Ranja.JPG; 24.2.2014
M-7|ristoro.jpg|i||newleaf01; 2006; http://en.wikipedia.org/wiki/File:Lemonade_with_straws.jpg; 24.2.2014
M-8|limonade_avance.jpg|i||Michael Fludkov; 2008; http://commons.wikimedia.org/wiki/File:Lemonade_(Lime_version).jpg; 24.2.2014
M-9|lucky_lemonade_sugarfree.jpg|i||miss karen; 2006; http://www.flickr.com/photos/misbehave/473324332/; 24.2.2014
M-10|tropical_explosion.jpg|i||Vera Kratochvil; 2012; http://pixabay.com/de/scheibe-alkohol-cocktail-saft-69747/; 24.2.2014
M-11|nippon_booster.jpg|i||abdallahh; 2011; http://www.flickr.com/photos/husseinabdallah/6157606076/; 24.2.2014
M-12|blue_cow.jpg|i||zolon; 2012; http://pixabay.com/de/trinken-glas-kalt-eis-blau-55352/; 24.2.2014
M-13|east_tea.jpg|i||Ted Van Pelt; 2011; http://www.flickr.com/photos/bantam10/6291930000/sizes/z/in/photostream/; 24.2.2014
M-14|exelsior.jpg|i||Drew Coffman; 2012; http://www.flickr.com/photos/drewcoffman/4865654566/sizes/z/in/photostream/; 26.2.2014
M-15|peter_paulsen.jpg|i||Victor1558; 2012; http://www.flickr.com/photos/76029035@N02/6829478403/sizes/z/in/photostream/; 24.2.2014
M-16|frank_schneider.jpg|i||Victor1558; 2012; http://www.flickr.com/photos/76029035@N02/6829475219/sizes/z/in/photostream/; 24.2.2014
